name,price,processor_type,graphics_card,motherboard_chipset
ASUS ROG Strix G15DK-R5800X2190 - 1TB M.2 PCIe | 24GB | Windows 11 Home,7690.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Komputronik Infinity HC512 [A02],9490.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS Prime Z690-P Wifi D4)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe | Windows 11 Home,5190.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 512GB M.2 PCIe | 32GB,4999.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
ASUS ROG Strix G15DK-R5800X2190 - 1TB M.2 PCIe | Windows 11 Home,7590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X340W - 1TB M.2 PCIe | 24GB,7590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X2190 - 512GB M.2 PCIe | 32GB,7090.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X340W - 512GB M.2 PCIe | 32GB,7490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X339W - 1TB M.2 PCIe,6490.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G15DK-R5800X2190 - 512GB M.2 PCIe | 32GB | Windows 11 Home,7590.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X2190 - 1TB M.2 PCIe | 32GB | Windows 11 Home,7790.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
Komputronik Infinity X712 [E6],7990.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
